profile,layer_position,layer_index,head_index,auc,null_mean,null_q95,p_value_perm_ge,positive_rate_profile_beats_anchor
late_boost_bal_0.60,7,31,12,0.6199828402853683,0.5146405274849264,0.5340289286148036,0.0,0.3355140186915888
edges_narrow_bal_0.55,6,27,14,0.6193355297297949,0.5127963827844354,0.5308390556299756,0.0,0.3186915887850467
late_boost_bal_0.60,0,3,8,0.6190895948661894,0.5154898941817596,0.5402189626599908,0.0,0.3355140186915888
late_boost_bal_0.60,0,3,5,0.6186077124690009,0.517120693910652,0.5501802161810624,0.0,0.3355140186915888
edges_narrow_bal_0.55,7,31,15,0.6184867391557953,0.5119654530168269,0.5324270180901005,0.0,0.3186915887850467
triad_odd_bal_0.45,1,7,9,0.6183773756834158,0.5147429868523825,0.5450533715178338,0.0,0.3121495327102804
late_boost_bal_0.60,0,3,6,0.6183099639959413,0.5173709593377447,0.5408951651132815,0.0,0.3355140186915888
late_boost_bal_0.60,7,31,4,0.618302128509808,0.5156857813350885,0.5355021958949888,0.0,0.3355140186915888
late_boost_bal_0.60,2,11,0,0.617843752571019,0.5149895983921584,0.5386620515653343,0.0,0.3355140186915888
edges_narrow_bal_0.55,4,19,8,0.6166845677000994,0.516749494144954,0.537588952045344,0.0,0.3186915887850467
triad_odd_bal_0.45,3,15,14,0.6148341903150221,0.5138362405623537,0.538844051028378,0.0,0.3121495327102804
late_boost_bal_0.60,0,3,1,0.614658627457894,0.5132007569079603,0.5329631066135421,0.0,0.3355140186915888
triad_odd_bal_0.45,0,3,6,0.6130036123405364,0.5129179412913303,0.5307293022650351,0.0,0.3121495327102804
late_boost_bal_0.60,7,31,14,0.6108466634541174,0.5147047784712183,0.5354148302246042,0.0,0.3355140186915888
edges_narrow_bal_0.55,7,31,13,0.6107349882738174,0.5140523514717062,0.5261481803297813,0.0,0.3186915887850467
edges_narrow_bal_0.55,1,7,0,0.610614307149552,0.5147768404877126,0.5331142970927917,0.0,0.3186915887850467
triad_odd_bal_0.45,7,31,12,0.6103757159593854,0.5137016727414735,0.5299915793413174,0.0,0.3121495327102804
late_boost_bal_0.60,1,7,9,0.6102237423065321,0.5146689702995897,0.5397135738044027,0.0,0.3355140186915888
triad_odd_bal_0.45,1,7,2,0.6098062028117678,0.5143332628221818,0.5344018484769592,0.0,0.3121495327102804
edges_narrow_bal_0.55,7,31,12,0.6097132214217041,0.515033328103818,0.535075767632518,0.0,0.3186915887850467
late_boost_bal_0.60,6,27,14,0.6091698694216237,0.5128112548922819,0.5304678960544409,0.0,0.3355140186915888
edges_narrow_bal_0.55,3,15,5,0.6090293617175337,0.5151267352939994,0.5362437597801994,0.0,0.3186915887850467
