profile,layer_position,layer_index,head_index,auc,null_mean,null_q95,p_value_perm_ge
edges_narrow_bal_0.55,6,27,8,0.7093718843469592,0.5265985625213911,0.5604031190012053,0.0
constant_2.6,2,11,11,0.708766426319568,0.5163064581577551,0.5366057215095046,0.0
constant_2.6,2,11,10,0.7083762524580953,0.513046321440834,0.5318327246621095,0.0
edges_narrow_bal_0.55,5,23,10,0.7074894718828589,0.5317605392776894,0.5733664677608964,0.0
edges_narrow_bal_0.55,6,27,7,0.7058525914792934,0.5273784616300352,0.5744616895581911,0.0
edges_narrow_bal_0.55,4,19,10,0.7052871237035163,0.5292278388714453,0.5630794184610348,0.0
edges_narrow_bal_0.55,7,31,3,0.7052201604142795,0.5250225443073763,0.5630362643413044,0.0
constant_2.6,2,11,8,0.7048412772731528,0.5138553079252114,0.5349203655148734,0.0
constant_2.6,2,11,6,0.7044003808096888,0.5181661048163063,0.5443971033492524,0.0
edges_narrow_bal_0.55,6,27,9,0.703382390143004,0.5283082096992606,0.5713270635853633,0.0
edges_narrow_bal_0.55,6,27,5,0.7006443356497671,0.5341703248463564,0.5717586047826669,0.0
edges_narrow_bal_0.55,3,15,3,0.7005848127260011,0.5249133197422658,0.5663330902813946,0.0
edges_narrow_bal_0.55,6,27,0,0.700525289802235,0.5375039061918723,0.5865292183152037,0.0
edges_narrow_bal_0.55,7,31,0,0.6997812532551599,0.5276347078168478,0.5658011041502359,0.0
edges_narrow_bal_0.55,6,27,11,0.6992009047484413,0.5250671865002008,0.5649283492805166,0.0
constant_2.6,2,11,5,0.6967958922495865,0.5123503293067391,0.5278182258014171,0.0
edges_narrow_bal_0.55,0,3,3,0.6964777309861461,0.5286912397136946,0.5662534783708576,0.0
edges_narrow_bal_0.55,5,23,9,0.6958676210175444,0.5288457017008676,0.5587186202586272,0.0
edges_narrow_bal_0.55,7,31,13,0.692698025327004,0.5274231038228598,0.5698352703084775,0.0
baseline,5,23,14,0.6919746160213373,0.5107718568932218,0.5356966798491676,0.0
edges_narrow_bal_0.55,6,27,2,0.6911950715019122,0.5278597044686835,0.5647014181336587,0.0
constant_2.6,4,19,14,0.6907091800106127,0.5152081967724816,0.5403547070574648,0.0
edges_narrow_bal_0.55,5,23,11,0.6896921176768203,0.5291439115489355,0.5667043645183851,0.0
edges_narrow_bal_0.55,5,23,4,0.6890373655153941,0.530867695421199,0.5739140786595438,0.0
edges_narrow_bal_0.55,1,7,10,0.6879808336185473,0.5312349518608355,0.5706373417062246,0.0
edges_narrow_bal_0.55,3,15,2,0.6874897694974778,0.5273659618160443,0.5757741700272317,0.0
edges_narrow_bal_0.55,0,3,13,0.6862100266365083,0.5265996041725569,0.561022901444919,0.0
edges_narrow_bal_0.55,2,11,1,0.6862100266365083,0.5301028258508058,0.5664930581390157,0.0
edges_narrow_bal_0.55,5,23,12,0.6825196053630154,0.5284150533474203,0.5609403133881936,0.0
baseline,2,11,5,0.6817106594316196,0.5124617676814127,0.5336107789938379,0.0
edges_narrow_bal_0.55,2,11,13,0.6816267615065252,0.5320283924346364,0.5725629082900552,0.0
constant_2.6,5,23,7,0.6814425508006368,0.5156278677778818,0.5343473951993009,0.0
edges_narrow_bal_0.55,5,23,7,0.6813589083495782,0.5336081308313865,0.5945447240368446,0.0
baseline,5,23,15,0.6809822496091236,0.5143485698519269,0.5372999172261566,0.0
baseline,3,15,12,0.6806805849351605,0.5149142279039823,0.5362834544284006,0.0
edges_narrow_bal_0.55,6,27,12,0.6788589455514056,0.5259263999047633,0.5667147810300441,0.0
baseline,2,11,6,0.678752874091787,0.5148643428676539,0.5338296698243356,0.0
